,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GRMZM2G000737,2.05105117,-1.587533961,1.950115829,-0.814071624,0.41560392,0.679217867
GRMZM2G000749,646.367732,0.026559948,0.437534463,0.06070367,0.951595209,1
GRMZM2G300801,506.9833784,-1.818212384,0.357276807,-5.089085967,3.60E-07,2.99E-06
GRMZM2G000823,880.1762267,-0.418169966,0.310999645,-1.344599494,0.178754607,0.368307918
GRMZM2G075958,1.996753077,-0.47437751,1.82350164,-0.260146468,0.794750795,0.988083811
GRMZM2G076062,1969.975768,0.296473375,0.300517481,0.986542861,0.323866793,0.572780232
GRMZM2G377787,0.465249313,0,1.958595556,0,1,1
GRMZM2G377780,407.3689532,-1.863670838,0.60649873,-3.072835515,0.002120353,0.008612977
GRMZM2G076423,2040.554501,-3.937993397,0.505470695,-7.790745218,6.66E-15,1.30E-13
GRMZM2G397339,9.057497132,-2.172294197,1.056592774,-2.055942696,0.03978804,0.109733755
GRMZM2G096252,0.072394794,0.503019926,1.958595556,0.256826849,0.797312442,0.988764819
GRMZM2G472236,0,NA,NA,NA,NA,NA
GRMZM2G169747,56.75442595,-0.005108642,0.584118396,-0.008745901,0.99302187,1
GRMZM2G472266,16.37611132,-1.610277129,1.067592168,-1.508326098,0.131471087,0.289578315
GRMZM2G038982,213.5364701,0.053435847,0.546814835,0.097722013,0.922153035,1
GRMZM2G453148,3.787900313,-5.088062306,1.677806904,-3.032567273,0.00242483,0.009706795
GRMZM2G453139,15.75229755,4.579782474,1.361948089,3.362670361,0.000771925,0.003491093
GRMZM2G453111,1774.541242,-1.597808565,0.866046988,-1.844944428,0.065045623,0.164428583
GRMZM2G154211,17.06462019,0.943382812,1.517338843,0.621735097,0.53411607,0.795750354
GRMZM2G154119,91.83873256,1.031804128,0.498309152,2.070610433,0.038395216,0.106530247
GRMZM2G154087,230.4834592,-0.434931727,0.578947228,-0.751245892,0.452504686,0.717405331
GRMZM2G453001,2097.126905,-0.535838762,0.294561209,-1.819108373,0.068894898,0.17232471
GRMZM2G703497,0,NA,NA,NA,NA,NA
GRMZM2G452996,0.345257298,0,1.958595556,0,1,1
GRMZM2G154036,174.3296962,1.955852987,0.912399864,2.143635773,0.032062082,0.091605554
GRMZM2G166445,2.148830906,1.686947581,1.772006644,0.951998452,0.341097767,0.593682823
GRMZM2G165998,5526.328993,-1.3293635,0.294600667,-4.512425286,6.41E-06,4.36E-05
GRMZM2G165972,0.744577414,0,1.958595556,0,1,1
GRMZM5G880418,0,NA,NA,NA,NA,NA
GRMZM2G480386,0.987201139,1.081802725,2.017005986,0.53634086,0.591722996,0.844898708
GRMZM2G056231,184.2147119,6.778641725,0.806068201,8.409513885,4.12E-17,9.70E-16
GRMZM5G837981,0,NA,NA,NA,NA,NA
GRMZM2G136081,7.21410989,4.175381753,1.253357945,3.331356193,0.000864239,0.003864607
GRMZM2G136088,0,NA,NA,NA,NA,NA
GRMZM2G031790,9.971542908,2.066017989,1.428150667,1.446638675,0.147998148,0.317957906
GRMZM2G031718,89.23916023,0.339700449,0.845044767,0.401991069,0.687690599,0.917501552
GRMZM2G172448,920.0003336,-0.566751735,0.496286087,-1.141985943,0.253459863,0.480298736
GRMZM2G172410,159.1885163,-1.35100636,0.548675863,-2.462303249,0.013804789,0.044656454
GRMZM2G172322,661.1642446,-1.484955705,0.320645441,-4.631145537,3.64E-06,2.58E-05
AC195260.2_FG007,1.170437791,0,1.958595556,0,NA,NA
AC186417.3_FG004,0,NA,NA,NA,NA,NA
AC186417.3_FG006,0.378479277,0.761192531,1.962860407,0.387797588,0.698165831,0.923900446
GRMZM2G181497,10.16097003,0.120157859,0.849813091,0.141393279,0.887559264,1
