"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G133568",21,23,14,0,0,1,4,7,18,9,9,6,6,45,16,0,18,67
"GRMZM2G151230",0,0,0,50,7,9,0,1,51,24,13,0,0,1,7,5,4,0
"GRMZM2G095397",0,0,0,8,16,5,0,0,0,24,3,17,1,8,3,4,7,3
"GRMZM2G145054",0,0,0,0,12,0,5,0,5,5,4,0,1,0,3,1,0,5
"GRMZM2G145027",0,3,0,10,12,8,67,56,52,58,116,87,40,24,19,23,55,46
"GRMZM2G159049",0,23,26,6,91,38,34,44,0,223,97,98,272,50,88,180,136,190
"GRMZM2G456422",0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"AC196043.3_FG005",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"GRMZM2G170868",28,49,58,425,487,239,354,455,167,296,347,332,202,174,119,175,146,119
"AC207328.3_FG003",4,4,10,5,23,0,0,0,0,5,5,0,0,9,2,0,0,0
"GRMZM2G379327",13,33,13,122,250,180,308,368,209,359,349,461,472,398,300,368,184,380
"GRMZM2G098656",31,17,17,25,6,14,36,65,12,41,49,16,135,88,58,10,41,78
"GRMZM2G397540",0,1,4,70,79,99,101,231,157,195,66,172,92,121,129,24,59,32
"GRMZM2G078382",8,15,12,10,62,67,0,0,0,13,3,0,137,128,53,84,54,107
"GRMZM2G416142",32524,40550,35185,1325,2568,1847,3744,4593,2702,3298,3815,3034,1818,2035,1804,1811,2063,1807
"GRMZM2G416061",1,1,0,530,649,1141,863,1497,758,1389,1398,1264,2739,1956,1421,1970,1629,2256
"GRMZM2G018416",2,1,0,0,44,131,1304,1050,562,2070,1314,1033,1523,2077,2900,1409,1597,985
"GRMZM2G349745",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"GRMZM2G008748",552,583,908,2170,1253,2577,2225,2891,1501,2671,2482,3561,3161,1994,1412,2874,2787,2466
"GRMZM2G024647",619,725,678,1913,575,1854,2356,2520,1541,2174,2564,3401,2782,2337,2040,3413,3482,2132
"GRMZM2G518963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G160458",1,2,1,1222,912,831,1170,1372,860,2152,2351,2412,1864,961,797,986,1201,1069
"GRMZM2G324976",0,1,6,4,6,9,4,3,1,3,2,3,14,6,4,5,11,14
"GRMZM2G026043",138,408,153,394,530,636,715,743,698,771,836,596,580,827,713,630,705,400
"GRMZM2G476652",66,13,37,387,318,259,756,1118,437,1102,1255,1138,861,735,605,426,652,718
"GRMZM2G058441",73,56,118,644,555,594,643,923,430,1544,1305,1788,1650,1227,1418,1245,1217,1300
"GRMZM2G356935",66,79,111,56,179,506,0,87,0,103,84,48,1558,559,944,1014,941,1148
"GRMZM2G033007",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0
"GRMZM2G007488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"GRMZM2G010518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GRMZM2G159691",754,1276,801,2809,10519,7660,2542,2978,1495,2730,2414,2409,3984,2516,2028,3147,3010,3539
"GRMZM2G163396",0,0,0,35,88,174,227,412,127,194,118,212,424,141,207,48,105,105
"AC194897.4_FG003",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC194897.4_FG005",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G020653",34,85,59,573,611,1767,660,742,351,644,442,471,853,1075,1539,988,1118,670
"GRMZM2G020409",17,0,4,58,208,97,472,609,525,1310,1300,987,1452,911,920,779,1055,859
"GRMZM2G020388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G020201",106,86,108,1902,344,2607,1410,1689,770,1017,1330,2392,420,473,366,1019,948,534
"GRMZM2G165231",19,16,1,254,69,95,668,866,538,872,483,816,360,309,447,456,293,359
"GRMZM2G165257",0,0,0,129,30,22,160,183,106,134,139,244,57,33,15,42,57,22
"GRMZM2G313750",181,271,236,15,25,9,37,55,23,84,31,28,184,119,82,101,33,34
"GRMZM2G127924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G104078",14272,20861,16490,140,40,79,449,636,274,411,507,479,1211,421,571,591,575,788
"GRMZM2G104118",2436,4184,2902,265,270,425,1125,1638,1297,1487,1932,1514,904,1095,1081,1504,1336,1046
"GRMZM2G157677",0,5,1,14,12,54,171,202,100,150,139,169,181,159,64,90,123,53
"GRMZM2G306781",28,65,40,368,133,107,633,571,536,754,727,988,479,247,147,320,431,323
"GRMZM2G006672",15,19,14,423,216,234,783,854,400,991,916,1115,815,545,398,707,630,746
"GRMZM2G407996",0,0,0,82,30,33,112,282,79,210,217,257,76,160,56,115,161,71
"GRMZM2G063792",4845,5248,5723,948,675,1772,1069,1591,896,1408,1586,973,2200,5787,5520,4613,2916,2731
"GRMZM2G390691",0,7,5,2,0,2,3,5,59,4,43,2,2,1,6,2,2,1
"GRMZM2G139670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G060023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G060118",0,0,1,17,4,5,73,69,36,57,47,54,105,72,90,61,90,69
"AC208458.3_FG011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
